700 80000
222 660 52322
386 658 64451
555 562 14957
353 551 68483
355 574 9219
316 407 46374
491 664 20985
92 173 91744
38 438 65621
72 481 4244
266 312 70613
370 618 61714
101 507 32629
139 568 80871
365 390 78573
480 542 32722
45 561 99412
184 440 10103
170 336 27166
294 691 96528
265 336 40270
178 614 44824
50 356 39384
56 94 92924
61 634 97115
172 659 92316
78 341 5854
62 191 21855
224 351 30768
176 565 68668
90 445 80289
252 577 340
384 620 91204
5 257 58120
82 176 70895
532 603 8554
184 678 47612
574 658 17721
197 619 22292
142 354 10908
327 375 86924
681 694 33193
106 531 56825
130 560 47165
599 661 33126
120 381 33019
27 384 15280
511 521 50552
406 491 99504
222 568 59826
225 489 68465
74 531 7355
534 664 93683
440 665 55718
243 331 43702
187 616 250
187 482 92006
112 235 3212
34 488 17803
23 588 23135
525 540 85859
260 664 81138
19 254 84435
106 505 59320
134 500 30128
135 320 65465
416 636 88860
288 603 587
490 611 7841
605 612 82410
158 430 20257
393 622 57048
123 306 6718
244 380 18887
262 529 5934
179 548 57528
100 352 78208
254 427 26139
149 195 4719
208 393 27178
118 365 39062
81 667 13526
95 355 42775
34 685 47821
532 618 37658
410 466 59911
257 509 84883
196 523 22451
472 496 46162
170 260 6410
2 377 52341
41 226 29437
192 690 98743
51 97 55409
14 187 45632
316 342 69731
43 240 33418
138 364 49961
40 603 84152
14 232 19646
129 458 85997
447 584 78686
322 473 53858
227 335 15738
57 653 12889
246 373 92252
104 562 59248
97 331 74032
668 695 94277
214 658 44098
220 361 12020
151 693 85164
133 377 34357
208 642 17529
285 302 98870
84 201 36540
93 610 43645
240 364 24343
336 605 31066
265 624 10264
152 550 76429
452 631 60135
380 392 1708
332 354 63725
224 469 30798
488 640 16741
544 639 95838
21 581 21610
319 453 81113
64 699 51459
296 611 26808
43 67 31529
99 526 25200
554 567 47785
498 549 76974
113 160 152
378 601 95753
235 504 6674
426 485 9237
316 461 15663
86 498 15401
109 230 63220
80 335 13136
266 287 27401
153 310 25556
96 434 5961
29 277 36984
227 401 74444
463 487 88033
121 127 40801
435 647 67551
597 616 45337
166 652 75604
217 462 61138
244 338 19326
161 289 58663
142 694 1965
225 429 18994
371 397 75899
312 501 75825
116 388 52012
335 433 56267
491 551 13423
483 545 48832
276 624 44999
539 652 85039
212 366 84877
269 582 17529
300 678 91234
136 415 39115
365 470 25149
147 308 32625
473 492 18700
24 388 45860
458 637 40398
315 472 67220
668 698 89575
134 491 3737
250 430 69077
224 591 16893
430 450 48497
141 269 28240
40 367 54570
26 37 86575
454 661 52967
27 498 31187
6 428 79342
121 264 67754
154 664 6410
469 596 77123
169 677 1455
458 482 70150
197 345 75916
413 610 19539
255 567 30780
335 560 40063
274 602 34612
200 223 4653
24 204 69300
1 143 26771
205 208 82945
318 359 76529
437 591 53347
33 287 3388
405 434 9907
28 511 25227
142 547 85025
206 211 82947
500 506 64205
349 562 57031
18 308 59101
429 440 89413
419 571 12404
481 643 26852
501 551 34036
22 486 10235
289 521 1923
291 541 57706
35 448 23162
126 384 70141
143 331 90081
492 564 81373
609 695 80110
81 409 56444
126 658 60128
231 641 41158
313 557 52225
490 555 75634
49 473 13853
29 183 40973
177 238 95953
306 415 79116
383 583 73386
118 585 91244
525 655 88488
511 593 59971
143 559 63418
42 522 15282
211 361 54204
417 490 25233
182 240 2805
159 618 88111
7 276 86427
75 479 57880
67 477 12911
70 362 66644
335 434 63044
137 528 30934
407 700 84801
198 617 90761
71 468 1377
187 487 25286
178 567 69899
347 520 52949
168 313 61598
403 509 78807
31 52 41194
426 543 24517
91 648 92370
36 532 13347
301 389 32240
75 202 55664
515 670 91052
229 617 65797
134 303 30575
178 224 85549
200 448 21359
30 203 31851
229 250 62655
400 529 67498
90 514 63576
285 395 86052
160 437 95104
477 585 11570
72 610 96432
339 401 50567
282 527 23995
29 179 97290
165 580 32729
159 254 4815
43 335 50695
173 266 43343
396 511 78903
550 608 43474
3 61 51612
215 397 22960
131 455 33839
70 108 54173
60 628 11721
414 568 54641
530 636 41270
393 532 88944
8 654 73992
14 329 74843
100 242 49370
70 382 39257
11 165 38445
146 526 91454
207 690 35312
196 327 30385
485 504 10038
83 356 14482
174 449 26866
506 547 7917
367 668 88157
291 569 73262
394 556 73531
148 549 2250
276 382 6649
357 601 81761
130 352 98555
243 635 29142
602 665 8900
73 356 9638
612 634 25223
243 457 48305
159 311 74413
129 147 17303
154 620 81783
172 656 35303
4 331 5474
230 247 2677
87 171 24584
259 353 56333
114 645 32672
31 222 80476
459 601 14037
479 630 44953
8 459 40767
108 573 39919
203 605 35041
152 438 6685
111 149 17283
193 570 72172
201 672 96510
288 689 76627
129 663 62847
252 484 20032
19 60 31121
224 246 96466
608 658 68455
545 658 34301
527 679 23183
161 629 4349
185 626 77926
183 466 26795
40 434 89927
86 90 75310
47 413 887
356 594 8699
43 201 89715
390 529 39794
43 642 25275
215 225 5054
110 259 87316
182 220 58461
164 219 48001
178 412 96375
413 687 79098
418 456 89657
80 84 62548
296 681 60374
412 415 15937
142 232 38754
36 584 34973
359 383 40390
138 654 21403
81 242 21153
107 165 18653
610 646 75986
181 307 29309
86 692 98269
645 657 36830
171 639 61973
242 403 21050
180 349 7268
19 67 59223
139 443 74740
551 643 66800
236 697 47350
125 507 19129
199 457 97101
114 436 5350
263 545 54556
211 303 61364
158 533 34623
241 552 49200
387 572 78434
200 405 71463
90 490 78453
147 640 69609
469 620 59460
120 226 8632
281 596 25552
133 632 47812
421 447 74303
314 457 49182
30 165 69923
229 525 79740
251 256 29899
60 551 74723
630 632 22108
389 478 1986
227 504 64228
41 372 3220
365 589 12860
27 487 31513
17 277 64805
42 228 39384
366 700 40051
68 259 74979
333 589 91047
495 640 39684
443 493 89121
229 577 68879
210 388 7180
539 559 33115
15 63 92201
340 457 56646
16 235 45151
147 465 58115
49 84 67332
201 469 6759
117 147 66243
250 338 88129
222 560 41934
144 476 80009
163 287 39594
371 398 21205
394 518 26239
162 529 53475
325 618 17902
60 67 8461
147 231 92732
96 103 81925
135 640 6048
35 153 54448
219 643 75712
45 688 39566
305 662 32101
327 649 9685
55 240 13209
127 681 56098
203 313 87753
133 453 69263
161 451 35097
41 258 67028
414 655 85931
278 362 83264
343 426 54927
378 503 7060
395 401 21936
97 320 86404
152 461 63749
325 330 48445
284 387 12014
7 138 40609
510 570 59735
326 552 68940
158 574 34170
171 259 39689
284 540 80072
365 587 74650
453 504 58434
69 77 88747
231 568 4671
5 634 11059
72 493 3063
195 218 38030
239 301 12750
8 548 79175
174 178 94653
258 260 26410
394 693 88920
561 648 61780
227 462 43908
12 193 89883
80 281 33516
264 537 5918
529 675 64820
167 560 15439
172 185 3949
274 336 46043
183 689 40676
4 262 10274
269 543 62861
172 518 76113
377 688 88287
628 652 92741
497 583 58658
211 595 62255
583 654 4618
455 656 81663
384 446 93881
38 545 23576
408 666 4443
250 498 150
39 551 5298
256 493 32268
337 458 54679
59 527 99129
303 466 61473
121 491 21826
62 296 81713
41 469 57712
241 698 47165
142 476 47347
342 654 30864
160 671 78595
628 651 89244
175 181 64497
339 432 45251
372 400 57354
180 564 64616
320 420 38237
562 613 4011
347 355 71674
18 70 68155
529 688 42811
196 197 83239
151 355 81594
167 230 21813
457 539 71266
108 119 54127
216 579 66810
406 618 9839
58 170 19237
190 319 54554
374 457 44846
431 477 95668
105 420 75778
7 613 66640
109 529 27306
373 673 70491
32 484 96762
278 557 39274
170 653 76468
73 131 21554
76 80 44104
60 492 47050
273 467 94602
246 644 14956
194 223 28511
81 418 19401
497 699 84577
468 551 76992
317 355 75318
273 560 99881
42 47 3224
224 439 2557
143 539 84502
422 617 69409
360 692 31801
433 687 79335
315 674 96974
2 80 33490
219 558 4525
174 363 58061
246 405 88858
208 436 51667
47 606 50767
49 654 37437
274 482 19228
177 192 36717
478 492 17522
165 631 95272
23 656 65216
9 661 42966
41 216 90079
282 434 87458
170 540 53060
397 595 47465
124 671 61259
70 670 88558
456 600 35357
258 497 14507
267 539 82322
50 326 67866
325 447 6113
373 448 70788
52 519 89180
217 699 41318
197 422 1180
206 627 75751
154 531 46715
373 526 60320
362 687 8224
171 390 15531
397 519 52198
263 497 16103
425 633 61303
164 321 12548
148 493 2731
119 301 28244
323 644 10252
126 205 61844
48 502 14095
379 409 32560
488 605 5555
63 363 99752
52 648 77668
203 467 36804
444 627 27343
251 699 5166
299 405 21907
313 577 37788
179 656 61998
65 578 33843
52 316 72053
110 255 85300
21 311 33233
391 571 65032
8 72 60719
441 690 79664
18 554 15177
152 348 5722
442 573 54322
202 493 68225
340 463 35500
47 55 12477
90 185 87146
143 284 96903
312 620 47190
337 366 97526
435 504 701
198 695 30678
266 323 40066
362 372 80084
209 501 49578
567 697 72095
167 281 17373
150 601 23162
236 639 62671
98 441 37234
135 447 90484
587 631 55614
383 647 46184
15 53 61631
341 542 1067
131 154 78338
365 491 49774
173 198 12428
26 422 30755
90 161 64967
321 677 54813
293 625 89130
110 230 70386
470 576 56062
281 484 79176
75 689 168
371 639 76781
26 77 51098
48 58 17661
433 492 40528
135 542 38991
22 604 48378
417 454 45430
6 53 8435
96 137 15712
213 593 59219
108 483 68756
34 376 2841
524 560 87259
432 483 49667
259 340 61829
2 71 74925
342 539 16906
98 376 19834
214 621 43542
46 675 38829
424 630 92900
26 132 80019
31 578 7910
447 491 44260
91 448 66252
14 433 55164
108 652 78077
184 494 74589
244 410 36198
219 292 71951
378 396 79188
131 498 10477
18 314 51940
375 617 52856
256 466 59914
380 457 98557
127 209 41361
103 656 40692
604 678 88292
475 568 63005
168 178 61775
219 570 46376
6 125 65187
80 528 41554
238 526 70734
467 516 61943
322 685 88764
10 96 5931
426 589 980
13 571 7042
282 464 5570
302 452 77174
176 188 70670
106 669 4014
361 693 93076
374 430 45971
98 338 81702
89 681 5572
246 682 17069
102 630 50327
10 548 22490
504 689 41919
41 394 92642
53 213 10637
233 668 90750
145 616 68076
377 467 59475
455 472 91026
26 143 59373
216 257 71563
264 359 1554
62 218 5717
31 458 25623
167 354 29024
371 659 64688
140 593 30268
443 507 60018
83 292 44980
287 651 16697
23 349 79757
119 656 99935
46 285 76787
279 680 77410
148 417 48121
65 616 91420
180 586 97615
176 496 59550
70 411 3089
87 357 36914
513 558 17313
18 687 25591
19 598 34732
405 616 78584
541 585 20443
501 594 57930
484 591 68598
178 429 65766
131 589 19476
504 511 80252
81 523 57413
104 678 30416
183 259 79910
186 538 71556
190 258 28180
147 367 63069
283 379 39694
558 670 13101
25 326 52992
190 591 43261
266 452 37907
252 608 77302
9 663 61207
329 661 58619
255 552 72679
270 546 6721
205 563 40316
250 258 10518
24 501 46169
615 696 95713
108 476 42723
363 514 48706
78 301 8532
298 439 28010
125 655 15982
301 472 81426
679 682 57457
392 528 17355
12 95 45471
155 503 21376
255 411 58520
215 379 61971
365 515 17221
151 354 59888
199 281 22599
134 139 76380
385 645 59468
100 174 92921
359 529 76798
190 492 23231
560 633 48475
30 98 74543
310 517 32771
404 421 5028
147 537 92350
134 396 77896
21 238 46828
214 649 89034
4 310 64858
26 564 86103
243 605 43848
239 294 34055
86 420 67547
543 547 86072
267 534 95929
82 278 503
600 693 63601
39 113 442
515 532 2501
291 671 9507
293 316 56701
534 687 14388
280 458 87685
96 122 20957
305 483 82530
300 390 97025
145 550 12315
339 435 54752
203 505 60024
70 575 96628
29 350 33505
58 594 6501
263 526 61977
438 557 75793
135 153 78203
267 387 27656
192 604 31204
134 469 62894
94 500 73056
285 683 93870
356 420 98119
135 592 65971
272 608 36338
295 531 12042
459 638 42541
221 501 96294
14 592 60409
32 147 90423
259 454 1876
345 557 11644
299 657 78856
399 507 58721
617 619 97038
229 474 62496
219 327 71543
571 629 5871
81 538 68952
474 577 48647
546 566 98268
97 310 88676
134 248 30752
328 532 44508
206 397 70188
450 664 96078
58 159 90729
204 566 51707
295 625 87354
346 410 15431
393 624 86608
40 452 94028
4 97 24671
150 179 78146
412 498 27868
6 590 85644
173 434 62961
295 478 11687
644 687 8342
554 617 58261
280 593 88348
141 429 64625
75 116 25343
124 376 13581
446 535 23154
173 206 7386
140 315 67989
111 435 56270
1 383 97177
161 497 34042
58 232 16654
295 350 64372
196 362 42579
222 521 75941
287 678 95647
185 246 5254
182 550 1820
81 182 36495
427 502 89770
469 648 26008
474 488 70777
332 545 93461
34 550 64359
426 689 30611
129 170 57883
205 598 52879
269 678 31023
190 301 65741
490 550 51816
320 421 25221
409 466 74003
18 607 25721
261 309 41722
311 390 28440
529 682 79092
44 377 7258
257 656 27873
628 637 78604
41 352 8505
122 579 85286
6 165 44300
256 262 5098
272 512 93914
456 631 98659
392 427 2302
190 438 35129
17 238 44863
117 509 49716
429 452 20303
184 289 22369
40 683 690
223 495 96700
222 310 75457
47 52 68033
341 369 1074
27 600 51150
455 690 82396
564 569 18396
236 359 45276
454 651 54649
184 365 29511
162 279 8620
270 511 86136
149 402 28383
297 636 90404
456 659 624
198 622 37648
198 651 89055
24 460 35016
119 207 32059
276 432 86029
485 546 27098
242 411 33912
227 501 31840
467 675 39615
288 343 78732
133 369 5031
166 330 25921
432 465 46312
123 550 95135
282 608 44183
395 523 23408
318 416 26039
16 518 95912
127 656 88247
548 665 73426
485 557 43188
143 646 14140
195 266 32149
496 628 71095
173 190 56903
606 618 9999
86 131 3954
87 586 8325
18 265 51332
486 631 49706
255 623 64791
392 452 97643
68 449 68979
521 527 17634
208 372 83441
188 652 53924
130 668 56709
233 367 10850
78 327 18388
128 505 75289
427 518 70932
36 429 46462
436 453 33338
405 571 34497
43 285 44184
18 275 83343
103 247 69117
54 230 70418
51 617 72799
64 630 2959
358 530 71378
677 689 6114
293 531 63799
179 406 38350
85 620 82958
481 641 99161
377 660 88236
250 632 58610
161 560 94256
372 376 70018
239 602 60571
363 392 9982
580 599 24801
183 367 34657
517 585 60021
187 611 86299
286 674 67847
271 658 11215
189 469 16292
40 402 54895
94 554 20847
485 594 32948
260 533 52322
3 10 3488
158 342 12899
47 519 78334
53 86 98695
271 542 46660
77 480 5303
307 386 96
273 378 60665
28 75 54690
187 495 12236
48 390 84113
199 318 47720
13 392 37688
122 156 17541
210 585 59273
99 699 64742
17 528 49761
425 588 18695
147 258 93869
129 470 28027
110 184 84520
183 314 14290
495 521 28691
2 485 70870
79 238 99806
60 352 72788
268 694 2437
303 529 35976
329 550 46166
36 511 42275
316 693 71385
665 686 17640
149 367 59324
196 496 37093
284 632 24827
232 599 92291
225 232 80079
65 88 59058
124 390 3548
129 472 41805
365 380 8769
177 440 53220
